HS Thickness (mm),LS Thickness (mm),Selective Layer Thickness (mm),Total Thickness (mm),HS Conductivity (S/m),LS Conductivity (S/m),CS Conductivity (S/m),AS Conductivity (S/m),CS Fixed Charge (mol m-3),AS Fixed Charge (mol m-3),Combined Parameter B (mol m-3),HS Concentration (mol m-3),LS Concentration (mol m-3),Combined Parameter A (mol m-3),Cation Transference Number,Charge Transfer Resistance (ohms),Current Density (A),,Capacity Retention D1D2,Capacity Retention D1D5,Capacity Retention D2D10,Coulombic Efficiency C1D2,Coulombic Efficiency C5D6,Coulombic Efficiency C9D10,Voltage Efficiency C1D2,Voltage Efficiency C5D6,Voltage Efficiency C9D10,Energy Efficiency C1D2,Energy Efficiency C5D6,Energy Efficiency C9D10,Maximum Potential D1 (V),Discharge Duration D1 (h),Average Power Density D1 (W m-3),Maximum Power Density D1 (W m-3),Energy Density D1 (Wh m-3)
1.8,1.8,1.8,9,8.12,0.03,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.548194749,0.486350162,0.84082227,1.213343022,1.201095498,1.105054926,0.226767595,0.21130295,0.219102826,0.275146879,0.253795022,0.242120658,0.20743169,5.76,1.235470429,4.528639067,7.105209654
1.8,1.8,1.8,9,8.12,0.063,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.548721351,0.485640026,0.841807182,1.280409728,1.204628259,1.109500842,0.219343538,0.211800511,0.218678688,0.280849599,0.255140881,0.242624188,0.218050054,5.76,1.244150256,4.760458711,7.154132354
1.8,1.8,1.8,9,8.12,0.1,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.537350843,0.487238528,0.859301547,1.057561362,1.208834635,1.108633928,0.249545389,0.211955385,0.219695796,0.263909561,0.25621901,0.243562213,0.223748958,5.76,1.248600219,4.884876903,7.17918482
1.8,1.8,1.8,9,8.12,0.12,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.5364164,0.487046653,0.862347183,1.053784287,1.211479478,1.108518994,0.247155863,0.212796971,0.216758847,0.260448965,0.257799163,0.240281299,0.225957675,5.76,1.250126024,4.933097512,7.18774707
1.8,1.8,1.8,9,8.12,0.0172,0.025,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.344639954,0.288583361,0.914075252,0.725919948,1.159145156,1.153805689,0.247559868,0.204129831,0.212471593,0.179708646,0.236616104,0.245150933,0.20353679,6.38,1.30798114,4.443605785,8.334965666
1.8,1.8,1.8,9,8.12,0.0172,0.05,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.359160047,0.339459612,1.054999175,0.759056793,1.033699566,1.17128164,0.249260748,0.2296614,0.208880131,0.189203064,0.237400889,0.244657462,0.203881071,6.31,1.339761206,4.451122114,8.444224484
1.8,1.8,1.8,9,8.12,0.0172,0.1,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.404309539,0.407445572,1.050678206,0.909860311,1.0547089,1.099282333,0.237408563,0.230704159,0.221647683,0.216008629,0.24332573,0.243653382,0.20254569,6.1,1.334665286,4.421968142,8.13188139
1.8,1.8,1.8,9,8.12,0.0172,1.3,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.558296609,0.478694291,0.812382146,1.287315538,1.146549605,1.123144974,0.218459534,0.221612044,0.221196492,0.281226353,0.254089201,0.248435728,0.196610253,5.82,1.195984105,4.292385963,6.950311699
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.025,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.42913094,0.282747861,0.499503858,0.936339747,1.039030488,1.009837752,0.247777513,0.211264336,0.211949474,0.232003934,0.219510087,0.21403458,0.203583283,15.11,1.030779353,4.444620822,15.56234311
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.1,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.427161007,0.304077751,0.607022314,0.916505789,1.091832381,1.056876973,0.251318338,0.213872988,0.217642051,0.230334711,0.233513454,0.230020872,0.202474388,10.15,1.149776014,4.420411487,11.65880407
